# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=2.08685e-07 to 53.857 h/Mpc,
# number of wavenumbers equal to 6836
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_m                   10:d_tot                 11:phi                   12:psi                
       1.386266612732e-05      -2.322934224908e-03      -1.743812273466e-03      -1.743812349194e-03      -2.322884818124e-03      -1.746534688274e-03      -1.743888731469e-03      -1.742593074697e-03      -1.743872883596e-03      -1.743933884999e-03       4.715039719170e-01       4.713961664725e-01 
       1.451355254915e-05      -2.545963392084e-03      -1.911408736799e-03      -1.911408827782e-03      -2.545904036145e-03      -1.914379790489e-03      -1.911491692047e-03      -1.910072320075e-03      -1.911475166111e-03      -1.911541982588e-03       4.715038385216e-01       4.713960466780e-01 
       1.516453646779e-05      -2.779217293761e-03      -2.086720522766e-03      -2.086720631202e-03      -2.779146555535e-03      -2.089949220223e-03      -2.086810114651e-03      -2.085261484120e-03      -2.086793038019e-03      -2.086865928317e-03       4.715036989885e-01       4.713959213706e-01 
       1.581562234803e-05      -3.022696493395e-03      -2.269752357794e-03      -2.269752486085e-03      -3.022612807994e-03      -2.273247381261e-03      -2.269848704320e-03      -2.268165288898e-03      -2.269831225758e-03      -2.269910447579e-03       4.715035533145e-01       4.713957905471e-01 
       1.646681465694e-05      -3.276401580410e-03      -2.460509180092e-03      -2.460509330850e-03      -3.276303245325e-03      -2.464278874694e-03      -2.460612376914e-03      -2.458788668057e-03      -2.460594667549e-03      -2.460680477505e-03       4.715034014959e-01       4.713956542042e-01 
       1.711811786396e-05      -3.540333169894e-03      -2.658996139898e-03      -2.658996315957e-03      -3.540218339114e-03      -2.663048499128e-03      -2.659106259360e-03      -2.657136767083e-03      -2.659088513645e-03      -2.659181167211e-03       4.715032435292e-01       4.713955123385e-01 
       1.776953644107e-05      -3.814491902270e-03      -2.865218599746e-03      -2.865218804169e-03      -3.814358580394e-03      -2.869561250898e-03      -2.865335689915e-03      -2.863214943559e-03      -2.865318126590e-03      -2.865417878057e-03       4.715030794107e-01       4.713953649465e-01 
       1.842107486280e-05      -4.098878442963e-03      -3.079182134732e-03      -3.079182370821e-03      -4.098724479293e-03      -3.083822324292e-03      -3.079306218427e-03      -3.077028767434e-03      -3.079289081496e-03      -3.079396183924e-03       4.715029091363e-01       4.713952120245e-01 
       1.907273760641e-05      -4.393493482045e-03      -3.300892532801e-03      -3.300892804106e-03      -4.393316564672e-03      -3.305837111784e-03      -3.301023606618e-03      -3.298584021309e-03      -3.301007166321e-03      -3.301121871493e-03       4.715027327020e-01       4.713950535686e-01 
       1.972452915194e-05      -4.698337733878e-03      -3.530355795037e-03      -3.530356105367e-03      -4.698135383748e-03      -3.535611204276e-03      -3.530493828377e-03      -3.527886700726e-03      -3.530478382164e-03      -3.530600940536e-03       4.715025501035e-01       4.713948895749e-01 
       2.037645398236e-05      -5.013411936730e-03      -3.767578135972e-03      -3.767578489401e-03      -5.013181501700e-03      -3.773150391347e-03      -3.767723070055e-03      -3.764943014478e-03      -3.767708943572e-03      -3.767839604227e-03       4.715023613366e-01       4.713947200392e-01 
       2.102851658362e-05      -5.338716852389e-03      -4.012565983897e-03      -4.012566384775e-03      -5.338455501264e-03      -4.018460661515e-03      -4.012717730782e-03      -4.009759384919e-03      -4.012705278852e-03      -4.012844289453e-03       4.715021663966e-01       4.713945449572e-01 
       2.168072144479e-05      -5.674253265756e-03      -4.265325981192e-03      -4.265326434154e-03      -5.673957982314e-03      -4.271548202506e-03      -4.265484422787e-03      -4.262342448293e-03      -4.265474030399e-03      -4.265621637140e-03       4.715019652789e-01       4.713943643247e-01 
       2.233307305816e-05      -6.020021984429e-03      -4.525864984663e-03      -4.525865494639e-03      -6.019689561425e-03      -4.532419401531e-03      -4.526029971731e-03      -4.522699055070e-03      -4.526022055034e-03      -4.526178502596e-03       4.715017579787e-01       4.713941781369e-01 
       2.298557591932e-05      -6.376023838267e-03      -4.794190065889e-03      -4.794190638114e-03      -6.375650871425e-03      -4.801080845570e-03      -4.794361417054e-03      -4.790836270296e-03      -4.794356424355e-03      -4.794521955850e-03       4.715015444909e-01       4.713939863893e-01 
